ID,Breed,Breed Size,Sex,Age,Weight (lbs),Spay/Neuter Status,Daily Activity Level,Diet,Food Brand,Daily Walk Distance (miles),Other Pets in Household,Medications,Seizures,Hours of Sleep,Play Time (hrs),Owner Activity Level,Annual Vet Visits,Average Temperature (F),Synthetic,Healthy
8373,Dachshund,Small,Female,7.0,64.0,Spayed,Active,Home cooked,Special,2.0,No,No,No,11.0,1.0,Low,0.0,79.0,Yes,Yes
8374,Golden Retriever,Large,Male,2.0,30.0,None,None,Hard food,Royal Canin,3.0,Yes,No,,12.0,1.0,Low,3.0,61.0,Yes,Yes
8375,Golden Retriever,Large,Male,11.0,59.0,Neutered,Low,Wet food,Nutro,0.0,No,Yes,No,9.0,,Active,0.0,72.0,Yes,No
8376,Australian Shepherd,Medium,Female,8.0,45.0,None,Very Active,Home cooked,Special,,Yes,No,Yes,13.0,2.0,Moderate,0.0,100.0,Yes,Yes
8377,Poodle,Small,Female,2.0,43.0,None,Active,Wet food,Wellness,0.0,No,Yes,Yes,11.0,0.0,None,2.0,68.0,Yes,No
8378,Rottweiler,,Male,6.0,69.0,None,Very Active,Hard food,Nutro,3.0,No,No,No,10.0,1.0,Very Active,2.0,96.0,Yes,Yes
8379,Australian Shepherd,Medium,Female,1.0,69.0,Spayed,Very Active,Wet food,Pedigree,,Yes,No,No,12.0,0.0,None,1.0,,Yes,Yes
8380,Beagle,Small,Female,11.0,26.0,Spayed,Moderate,Home cooked,Special,3.0,No,No,No,10.0,0.0,Moderate,3.0,59.0,Yes,Yes
8381,Siberian Husky,Medium,Female,9.0,68.0,Spayed,None,Wet food,Hill's Science,2.0,No,No,No,14.0,1.0,Active,2.0,72.0,Yes,Yes
8382,Dachshund,Small,Male,3.0,33.0,Spayed,None,Hard food,Iams,2.0,Yes,Yes,No,14.0,3.0,Very Active,1.0,,Yes,Yes
8383,German Shepherd,Large,Female,13.0,67.0,Spayed,Active,Wet food,Pedigree,2.0,No,Yes,No,11.0,1.0,Very Active,0.0,68.0,Yes,No
8384,Siberian Husky,,Female,4.0,45.0,None,,Hard food,Iams,5.0,No,No,No,12.0,2.0,Very Active,1.0,81.0,Yes,Yes
8385,Dachshund,Small,Male,4.0,51.0,Spayed,Moderate,Special diet,Iams,2.0,No,No,No,11.0,2.0,Moderate,1.0,55.0,Yes,Yes
8386,Beagle,Small,Female,7.0,61.0,Neutered,Very Active,Wet food,Iams,3.0,Yes,No,No,13.0,2.0,Low,0.0,,Yes,Yes
8387,Boxer,Medium,Female,4.0,109.0,Spayed,Active,Home cooked,,3.0,Yes,Yes,No,10.0,1.0,Very Active,3.0,49.0,Yes,Yes
8388,Poodle,Small,Male,2.0,23.0,Spayed,Very Active,Hard food,Wellness,2.0,No,No,No,14.0,2.0,Moderate,0.0,61.0,Yes,Yes
8389,Rottweiler,Large,Male,5.0,31.0,Neutered,Moderate,Home cooked,Special,0.0,No,No,No,11.0,1.0,Low,2.0,62.0,Yes,Yes
8390,Siberian Husky,Medium,Male,2.0,,Spayed,Low,Wet food,Hill's Science,2.0,,No,No,10.0,0.0,Low,1.0,71.0,Yes,Yes
8391,Doberman,Large,Male,8.0,42.0,None,None,Wet food,Nutro,5.0,Yes,No,No,12.0,2.0,Active,0.0,67.0,Yes,
8392,Labrador Retriever,Large,Male,10.0,43.0,Neutered,None,Special diet,Wellness,2.0,No,No,No,12.0,2.0,None,1.0,46.0,Yes,Yes
8393,Siberian Husky,Medium,Female,7.0,65.0,None,,Hard food,Blue Buffalo,4.0,No,No,No,14.0,3.0,Very Active,1.0,77.0,Yes,Yes
8394,Golden Retriever,Large,Male,7.0,44.0,Spayed,Very Active,Home cooked,Special,2.0,No,Yes,No,12.0,2.0,Moderate,0.0,49.0,Yes,Yes
8395,Golden Retriever,Large,Female,3.0,68.0,Neutered,Low,Hard food,Pedigree,2.0,No,No,No,8.0,3.0,Moderate,2.0,62.0,Yes,Yes
8396,Golden Retriever,Large,Female,7.0,67.0,Neutered,None,Home cooked,Special,3.0,No,Yes,No,,4.0,Moderate,3.0,73.0,Yes,Yes
8397,Beagle,Small,Female,12.0,49.0,None,Moderate,Home cooked,Special,3.0,Yes,No,No,10.0,0.0,Moderate,3.0,57.0,Yes,Yes
8398,Siberian Husky,Medium,Male,13.0,58.0,Spayed,None,Wet food,Nutro,2.0,Yes,No,Yes,11.0,0.0,Low,2.0,73.0,Yes,No
8399,Chihuahua,Small,Male,12.0,38.0,,Low,Hard food,Royal Canin,1.0,Yes,No,No,11.0,1.0,Very Active,1.0,35.0,Yes,
8400,Labrador Retriever,Large,Male,11.0,41.0,Neutered,Moderate,Home cooked,Special,2.0,Yes,Yes,No,11.0,1.0,None,4.0,61.0,Yes,
8401,Australian Shepherd,Medium,Female,4.0,62.0,Neutered,Moderate,Wet food,Wellness,1.0,Yes,No,No,8.0,0.0,None,2.0,43.0,Yes,Yes
8402,Doberman,Large,,13.0,83.0,None,Very Active,,Blue Buffalo,4.0,No,Yes,No,11.0,3.0,Active,1.0,98.0,Yes,No
8403,,Small,Female,10.0,40.0,Neutered,Active,Hard food,Blue Buffalo,0.0,No,No,No,14.0,1.0,Active,2.0,77.0,Yes,Yes
8404,Beagle,Small,Female,11.0,64.0,Spayed,None,Special diet,,3.0,No,Yes,No,8.0,2.0,Moderate,0.0,48.0,Yes,No
8405,Boxer,Medium,Male,8.0,65.0,Neutered,Low,Hard food,Nutro,5.0,No,Yes,No,8.0,1.0,Active,2.0,54.0,Yes,Yes
8406,Doberman,Large,Male,2.0,73.0,Neutered,Moderate,Hard food,Nutro,0.0,No,Yes,No,12.0,2.0,None,2.0,34.0,Yes,Yes
8407,Boxer,Medium,Female,12.0,70.0,Spayed,Active,Hard food,Pedigree,3.0,Yes,Yes,No,11.0,0.0,None,4.0,64.0,Yes,Yes
8408,Beagle,Small,Female,7.0,50.0,Neutered,Active,Special diet,Pedigree,3.0,No,No,Yes,10.0,2.0,None,4.0,65.0,Yes,Yes
8409,Boxer,,Female,6.0,44.0,Spayed,Moderate,Special diet,Royal Canin,1.0,No,No,No,13.0,1.0,Active,,56.0,Yes,Yes
8410,Boxer,Medium,Female,11.0,83.0,Spayed,None,Special diet,Wellness,1.0,Yes,No,No,8.0,2.0,Moderate,2.0,78.0,Yes,Yes
8411,Boxer,Medium,Female,4.0,59.0,Spayed,None,Home cooked,Special,2.0,No,Yes,No,13.0,3.0,Low,3.0,42.0,Yes,Yes
8412,,Small,Male,3.0,40.0,Neutered,Active,Hard food,Nutro,0.0,Yes,Yes,No,13.0,2.0,Moderate,2.0,,Yes,Yes
8413,Dachshund,Small,Female,3.0,69.0,Neutered,Moderate,Wet food,Purina,3.0,No,Yes,No,8.0,2.0,Moderate,2.0,48.0,Yes,Yes
8414,Dachshund,Small,Male,5.0,72.0,None,Moderate,Home cooked,Special,2.0,Yes,Yes,No,12.0,1.0,Very Active,2.0,67.0,Yes,Yes
8415,Great Dane,Large,Female,5.0,69.0,Spayed,Very Active,Wet food,Nutro,2.0,No,Yes,No,12.0,0.0,Active,1.0,51.0,Yes,Yes
8416,Australian Shepherd,Medium,Male,,63.0,Spayed,Moderate,Hard food,Nutro,0.0,Yes,Yes,No,9.0,1.0,Very Active,1.0,46.0,Yes,Yes
8417,Australian Shepherd,Medium,Male,5.0,69.0,Spayed,Very Active,Hard food,Blue Buffalo,3.0,Yes,No,No,8.0,1.0,Low,0.0,100.0,Yes,Yes
8418,German Shepherd,Large,Male,9.0,,Neutered,Moderate,Home cooked,Special,2.0,No,No,No,11.0,1.0,Moderate,1.0,72.0,Yes,Yes
8419,Great Dane,Large,Male,8.0,62.0,Neutered,None,Special diet,Blue Buffalo,4.0,No,Yes,No,13.0,2.0,Moderate,1.0,73.0,Yes,Yes
8420,Great Dane,Large,Male,,50.0,Neutered,Moderate,Hard food,Iams,1.0,No,Yes,No,9.0,2.0,None,2.0,55.0,Yes,Yes
8421,Labrador Retriever,Large,Female,11.0,19.0,None,Active,Home cooked,Special,3.0,Yes,No,No,12.0,3.0,Active,1.0,63.0,Yes,Yes
8422,Labrador Retriever,Large,Female,13.0,58.0,Neutered,Very Active,,Nutro,2.0,,Yes,No,9.0,3.0,Very Active,0.0,62.0,Yes,No
8423,Great Dane,Large,Male,6.0,46.0,None,Moderate,Home cooked,Special,2.0,Yes,Yes,No,8.0,2.0,Low,1.0,76.0,Yes,Yes
8424,Boxer,Medium,Male,3.0,50.0,None,Low,Hard food,Iams,4.0,No,No,No,9.0,2.0,Moderate,3.0,77.0,Yes,Yes
8425,Beagle,,Female,7.0,39.0,None,Very Active,Home cooked,Special,5.0,No,No,No,9.0,1.0,,1.0,79.0,Yes,Yes
8426,Chihuahua,Small,Female,4.0,51.0,Neutered,Low,Home cooked,Special,2.0,Yes,Yes,,13.0,1.0,Moderate,2.0,52.0,Yes,Yes
8427,German Shepherd,Large,Male,7.0,34.0,Spayed,None,Home cooked,Special,1.0,No,Yes,No,10.0,0.0,None,2.0,61.0,Yes,Yes
8428,Boxer,Medium,Male,4.0,26.0,None,Low,Home cooked,Special,3.0,Yes,No,No,11.0,0.0,Moderate,1.0,89.0,Yes,
8429,Chihuahua,Small,Female,10.0,44.0,Neutered,None,Home cooked,Special,3.0,Yes,Yes,No,14.0,1.0,Moderate,0.0,33.0,Yes,No
8430,Poodle,Small,Female,6.0,47.0,Neutered,None,Wet food,Iams,4.0,No,No,No,10.0,1.0,Moderate,4.0,62.0,Yes,Yes
8431,Yorkshire Terrier,Small,Female,2.0,29.0,None,Moderate,Hard food,Blue Buffalo,2.0,Yes,Yes,No,12.0,2.0,Low,2.0,51.0,Yes,No
8432,Beagle,Small,Male,8.0,39.0,Neutered,Very Active,Wet food,Iams,3.0,Yes,No,No,14.0,0.0,None,4.0,78.0,Yes,Yes
8433,Yorkshire Terrier,Small,Male,10.0,46.0,Spayed,Active,Special diet,Hill's Science,3.0,Yes,No,No,12.0,1.0,None,2.0,60.0,Yes,Yes
8434,Yorkshire Terrier,Small,Female,13.0,58.0,Neutered,Very Active,Wet food,Nutro,3.0,Yes,No,Yes,13.0,3.0,Low,3.0,68.0,Yes,Yes
8435,Great Dane,Large,Male,9.0,40.0,Spayed,Moderate,Special diet,Royal Canin,2.0,Yes,Yes,No,14.0,1.0,None,1.0,53.0,Yes,Yes
8436,Dachshund,Small,Male,8.0,38.0,Neutered,None,Wet food,,2.0,No,No,No,11.0,1.0,Active,1.0,66.0,Yes,Yes
8437,Siberian Husky,Medium,Female,11.0,47.0,None,Very Active,Home cooked,Special,1.0,Yes,No,No,11.0,2.0,Very Active,2.0,35.0,Yes,Yes
8438,Siberian Husky,Medium,Male,5.0,64.0,Neutered,None,Special diet,Royal Canin,2.0,No,No,No,10.0,2.0,Very Active,3.0,60.0,Yes,Yes
8439,Bulldog,Medium,Male,5.0,42.0,Neutered,Low,Special diet,Royal Canin,3.0,Yes,No,No,10.0,1.0,Low,1.0,76.0,Yes,Yes
8440,Yorkshire Terrier,Small,Female,,72.0,None,Very Active,Home cooked,Special,3.0,Yes,Yes,No,10.0,3.0,Moderate,1.0,96.0,Yes,Yes
8441,Golden Retriever,Large,Female,11.0,,None,Very Active,Home cooked,Special,1.0,,Yes,No,11.0,3.0,Active,2.0,58.0,Yes,Yes
8442,Chihuahua,Small,Female,4.0,53.0,Neutered,,Home cooked,Special,1.0,Yes,Yes,No,10.0,2.0,Moderate,0.0,70.0,Yes,Yes
8443,Yorkshire Terrier,Small,Male,7.0,68.0,None,Active,Hard food,Purina,3.0,Yes,No,,11.0,1.0,None,0.0,94.0,Yes,Yes
8444,German Shepherd,,Male,4.0,56.0,None,Active,Wet food,Blue Buffalo,3.0,No,No,No,10.0,0.0,Very Active,1.0,50.0,Yes,Yes
8445,Beagle,Small,Male,7.0,66.0,None,Low,Special diet,Blue Buffalo,6.0,No,Yes,Yes,11.0,1.0,Very Active,2.0,70.0,Yes,
8446,Golden Retriever,Large,Female,10.0,45.0,Spayed,Very Active,,Hill's Science,1.0,No,No,No,10.0,3.0,Moderate,1.0,52.0,Yes,Yes
8447,Great Dane,Large,Female,2.0,56.0,None,None,Home cooked,Special,0.0,Yes,No,No,11.0,1.0,Low,3.0,86.0,Yes,Yes
8448,Labrador Retriever,Large,Female,2.0,103.0,None,None,Special diet,Purina,1.0,Yes,Yes,No,8.0,2.0,Low,,52.0,Yes,No
8449,Yorkshire Terrier,Small,Female,8.0,50.0,Spayed,Active,Wet food,Pedigree,1.0,Yes,No,No,8.0,1.0,Low,1.0,67.0,Yes,Yes
8450,,Small,Male,3.0,35.0,None,None,Home cooked,Special,1.0,Yes,,No,12.0,3.0,Moderate,2.0,66.0,Yes,Yes
8451,Australian Shepherd,Medium,Female,6.0,59.0,None,Active,,Wellness,4.0,Yes,Yes,No,9.0,3.0,Low,0.0,57.0,Yes,Yes
8452,Doberman,Large,Female,6.0,61.0,Spayed,Active,Wet food,Wellness,0.0,No,Yes,No,12.0,1.0,Very Active,3.0,,Yes,Yes
8453,Yorkshire Terrier,Small,Female,8.0,29.0,Neutered,Active,,Wellness,3.0,No,Yes,No,10.0,1.0,None,2.0,89.0,Yes,Yes
8454,Golden Retriever,Large,Female,2.0,74.0,Spayed,Active,Wet food,Nutro,2.0,No,No,No,8.0,3.0,Active,0.0,80.0,Yes,Yes
8455,Chihuahua,Small,Male,2.0,,None,Active,Special diet,Wellness,1.0,No,Yes,No,13.0,2.0,Moderate,1.0,100.0,Yes,Yes
8456,Golden Retriever,Large,Female,10.0,58.0,Neutered,None,Wet food,Purina,2.0,Yes,Yes,No,10.0,0.0,Very Active,1.0,62.0,Yes,No
8457,Labrador Retriever,Large,Male,8.0,52.0,Spayed,Low,Hard food,Royal Canin,1.0,Yes,,No,12.0,1.0,Active,0.0,51.0,Yes,No
8458,Chihuahua,Small,Female,13.0,43.0,None,Very Active,Wet food,Wellness,2.0,Yes,Yes,No,13.0,2.0,Low,2.0,65.0,Yes,No
8459,Dachshund,Small,Male,4.0,49.0,Neutered,Low,Hard food,Wellness,3.0,No,Yes,No,14.0,1.0,Moderate,3.0,73.0,Yes,
8460,Poodle,Small,Male,1.0,40.0,None,None,Hard food,Hill's Science,1.0,No,Yes,No,11.0,1.0,Active,3.0,67.0,Yes,No
8461,Rottweiler,Large,Male,3.0,37.0,None,None,Hard food,Purina,5.0,No,No,No,11.0,2.0,Active,0.0,52.0,Yes,No
8462,Golden Retriever,Large,Female,12.0,41.0,None,Low,Hard food,Pedigree,2.0,No,Yes,No,11.0,1.0,None,3.0,70.0,Yes,No
8463,German Shepherd,Large,Female,6.0,62.0,Neutered,Active,Special diet,Nutro,2.0,Yes,No,No,10.0,2.0,Active,2.0,81.0,Yes,Yes
8464,Great Dane,Large,Male,8.0,50.0,,Low,Hard food,Iams,3.0,No,No,No,10.0,1.0,Active,2.0,67.0,Yes,Yes
8465,Poodle,Small,Female,11.0,36.0,Spayed,Active,Home cooked,Special,5.0,Yes,No,No,11.0,2.0,Very Active,1.0,52.0,Yes,Yes
8466,Dachshund,Small,Male,1.0,84.0,Spayed,Active,Wet food,Pedigree,,Yes,No,No,11.0,2.0,Active,2.0,77.0,Yes,Yes
8467,Chihuahua,Small,Male,9.0,33.0,None,Very Active,Wet food,Nutro,2.0,No,No,No,14.0,0.0,Low,2.0,56.0,Yes,Yes
8468,Bulldog,Medium,Male,6.0,60.0,Spayed,Low,Wet food,Wellness,3.0,No,No,No,10.0,0.0,None,3.0,78.0,Yes,Yes
8469,Boxer,Medium,Female,3.0,56.0,Neutered,Low,Wet food,Iams,5.0,No,No,No,10.0,1.0,Active,0.0,,Yes,Yes
8470,Beagle,Small,Female,10.0,57.0,None,Active,Hard food,Royal Canin,4.0,No,Yes,No,10.0,1.0,Very Active,3.0,52.0,Yes,No
8471,Siberian Husky,Medium,Male,12.0,65.0,Neutered,None,Home cooked,Special,2.0,No,No,No,10.0,2.0,Low,1.0,71.0,Yes,Yes
8472,Dachshund,Small,Male,6.0,82.0,None,Low,Hard food,Royal Canin,5.0,Yes,Yes,No,10.0,1.0,None,0.0,59.0,Yes,No
8473,German Shepherd,Large,Female,3.0,53.0,Neutered,Low,Home cooked,Special,1.0,Yes,No,No,10.0,3.0,,2.0,67.0,Yes,Yes
8474,Doberman,Large,Female,3.0,58.0,Spayed,Active,Hard food,Purina,,Yes,No,No,13.0,,None,1.0,51.0,Yes,
8475,Beagle,Small,Male,13.0,59.0,Spayed,None,Home cooked,Special,3.0,No,Yes,Yes,10.0,1.0,Low,1.0,42.0,Yes,No
8476,Great Dane,Large,Female,7.0,57.0,None,Active,Wet food,Royal Canin,2.0,No,Yes,No,8.0,1.0,None,0.0,74.0,Yes,No
8477,Siberian Husky,Medium,Female,4.0,44.0,None,Active,Hard food,,3.0,Yes,No,No,10.0,2.0,Active,1.0,47.0,Yes,Yes
8478,Chihuahua,Small,Female,2.0,65.0,Spayed,Active,Wet food,Purina,2.0,No,Yes,No,11.0,,Very Active,0.0,50.0,,Yes
8479,Dachshund,Small,Female,2.0,42.0,None,Very Active,Hard food,Iams,4.0,No,Yes,No,11.0,2.0,Active,0.0,74.0,Yes,No
8480,German Shepherd,Large,Female,1.0,45.0,,None,Wet food,Hill's Science,3.0,Yes,No,No,12.0,0.0,Moderate,2.0,65.0,Yes,Yes
8481,Yorkshire Terrier,Small,Female,8.0,34.0,Spayed,Active,Home cooked,Special,2.0,Yes,Yes,No,11.0,2.0,Active,3.0,63.0,Yes,
8482,Bulldog,Medium,Male,6.0,59.0,Neutered,Low,Home cooked,Special,1.0,No,No,No,13.0,2.0,None,0.0,52.0,Yes,Yes
8483,Bulldog,Medium,Male,3.0,41.0,None,Low,Wet food,Royal Canin,3.0,Yes,No,No,9.0,2.0,Moderate,4.0,63.0,Yes,Yes
8484,Great Dane,Large,Male,7.0,43.0,Neutered,Active,Wet food,Blue Buffalo,2.0,No,No,No,10.0,1.0,Very Active,4.0,46.0,Yes,Yes
8485,Rottweiler,Large,Female,12.0,74.0,None,Moderate,Home cooked,Special,4.0,No,Yes,No,10.0,1.0,Low,2.0,53.0,Yes,No
8486,Great Dane,Large,Female,11.0,46.0,Neutered,Very Active,Home cooked,Special,1.0,,No,No,11.0,2.0,None,2.0,68.0,Yes,Yes
8487,Dachshund,Small,Male,12.0,59.0,Spayed,Very Active,Home cooked,Special,2.0,Yes,No,,11.0,2.0,Active,3.0,83.0,Yes,Yes
8488,Bulldog,Medium,Male,,63.0,None,Low,Wet food,Wellness,2.0,Yes,Yes,No,11.0,1.0,None,1.0,72.0,,No
8489,Beagle,Small,Female,6.0,37.0,None,Moderate,Home cooked,Special,1.0,Yes,,No,12.0,3.0,Active,2.0,68.0,Yes,Yes
8490,Siberian Husky,Medium,Female,7.0,44.0,None,Active,Home cooked,,4.0,Yes,No,No,10.0,1.0,None,1.0,100.0,Yes,Yes
8491,Labrador Retriever,Large,Female,2.0,51.0,Neutered,Moderate,Wet food,Wellness,1.0,Yes,No,No,11.0,2.0,,1.0,,Yes,Yes
8492,German Shepherd,Large,Female,2.0,47.0,Spayed,None,Special diet,Pedigree,4.0,Yes,Yes,No,10.0,2.0,None,1.0,42.0,Yes,
8493,Labrador Retriever,Large,Female,2.0,13.0,None,None,Wet food,Nutro,0.0,Yes,No,No,10.0,2.0,Moderate,2.0,72.0,Yes,No
8494,Great Dane,Large,Male,4.0,72.0,,Active,Special diet,Blue Buffalo,1.0,No,Yes,No,12.0,2.0,Low,1.0,54.0,Yes,Yes
8495,Great Dane,Large,Male,13.0,24.0,None,Moderate,Hard food,Hill's Science,4.0,Yes,No,Yes,9.0,0.0,Moderate,3.0,86.0,Yes,No
8496,Doberman,Large,Female,8.0,50.0,,None,Wet food,Royal Canin,2.0,No,Yes,No,10.0,0.0,Active,1.0,56.0,Yes,Yes
8497,Poodle,Small,Female,1.0,33.0,None,Low,Hard food,Purina,2.0,Yes,Yes,No,12.0,1.0,Low,1.0,79.0,Yes,No
8498,Poodle,Small,Male,9.0,57.0,Neutered,None,Home cooked,Special,1.0,No,Yes,No,13.0,3.0,Low,,66.0,Yes,Yes
8499,Australian Shepherd,Medium,Female,5.0,14.0,Spayed,None,Home cooked,Special,3.0,No,No,No,11.0,3.0,Active,2.0,75.0,Yes,Yes
8500,Dachshund,Small,Male,,56.0,Spayed,Low,Home cooked,Special,2.0,No,Yes,Yes,,2.0,Active,1.0,80.0,Yes,No
8501,Siberian Husky,Medium,Female,13.0,59.0,None,Active,Wet food,Pedigree,5.0,No,No,No,10.0,2.0,Active,2.0,70.0,Yes,Yes
8502,German Shepherd,Large,Male,9.0,24.0,None,Very Active,Wet food,Hill's Science,0.0,No,Yes,No,13.0,1.0,Active,0.0,62.0,Yes,No
8503,Beagle,Small,Female,7.0,25.0,Spayed,Very Active,Wet food,Hill's Science,1.0,No,,No,12.0,2.0,Very Active,0.0,63.0,Yes,Yes
8504,Yorkshire Terrier,Small,Male,8.0,32.0,Neutered,Very Active,Wet food,Nutro,2.0,Yes,No,No,10.0,3.0,Low,0.0,62.0,Yes,Yes
8505,Beagle,Small,Male,2.0,65.0,None,Moderate,Hard food,Pedigree,0.0,Yes,Yes,No,11.0,3.0,None,1.0,66.0,Yes,No
8506,Chihuahua,Small,Male,1.0,32.0,Spayed,Very Active,Hard food,Pedigree,2.0,No,Yes,No,9.0,0.0,Active,1.0,75.0,Yes,Yes
8507,Yorkshire Terrier,Small,Female,8.0,49.0,Spayed,Low,Special diet,Purina,2.0,No,Yes,No,11.0,1.0,Very Active,1.0,95.0,Yes,Yes
8508,Bulldog,Medium,Male,13.0,51.0,Spayed,Low,Home cooked,Special,3.0,No,Yes,No,11.0,2.0,Moderate,3.0,57.0,Yes,Yes
8509,Beagle,Small,Male,9.0,28.0,None,Active,Special diet,Hill's Science,2.0,Yes,No,No,11.0,0.0,Active,1.0,50.0,Yes,Yes
8510,Golden Retriever,Large,Female,13.0,49.0,Spayed,Low,Wet food,Royal Canin,3.0,No,No,No,9.0,2.0,Very Active,1.0,46.0,Yes,Yes
8511,Yorkshire Terrier,Small,Female,8.0,43.0,Spayed,Very Active,Hard food,Pedigree,2.0,No,No,No,12.0,1.0,Moderate,1.0,52.0,Yes,
8512,Beagle,Small,Female,12.0,,None,Low,Special diet,Nutro,2.0,No,Yes,No,10.0,1.0,Very Active,0.0,65.0,Yes,No
8513,Golden Retriever,Large,Male,12.0,73.0,None,None,Wet food,Purina,1.0,,No,No,12.0,3.0,Active,3.0,77.0,Yes,No
8514,Dachshund,Small,Male,4.0,50.0,None,Very Active,Special diet,Blue Buffalo,1.0,No,No,No,10.0,0.0,Low,0.0,84.0,Yes,Yes
8515,Dachshund,Small,Male,10.0,26.0,Spayed,Moderate,,Nutro,1.0,No,Yes,,12.0,2.0,Active,0.0,75.0,Yes,No
8516,Doberman,,Male,5.0,28.0,Neutered,None,Special diet,Iams,3.0,No,Yes,No,12.0,3.0,Moderate,0.0,41.0,Yes,Yes
8517,Dachshund,Small,Female,13.0,50.0,None,Low,Hard food,Hill's Science,6.0,Yes,No,No,10.0,2.0,Moderate,2.0,98.0,Yes,No
8518,Dachshund,Small,Male,1.0,37.0,Spayed,Active,Special diet,Iams,3.0,Yes,Yes,No,10.0,2.0,Low,2.0,65.0,Yes,Yes
8519,Siberian Husky,Medium,Male,9.0,53.0,Neutered,None,Hard food,,3.0,Yes,Yes,No,10.0,1.0,Moderate,0.0,,,No
8520,Siberian Husky,Medium,Male,12.0,33.0,Spayed,Low,Special diet,Nutro,,No,No,No,13.0,2.0,Low,3.0,75.0,Yes,Yes
8521,Poodle,Small,Female,13.0,44.0,Spayed,Very Active,Special diet,Pedigree,4.0,No,No,No,14.0,1.0,Very Active,2.0,67.0,Yes,Yes
8522,Beagle,Small,Male,13.0,29.0,Spayed,None,Home cooked,Special,,Yes,Yes,No,12.0,,Active,4.0,67.0,Yes,Yes
8523,Siberian Husky,Medium,Male,5.0,34.0,Spayed,Active,Special diet,Pedigree,4.0,No,Yes,No,13.0,3.0,Moderate,1.0,53.0,Yes,Yes
8524,Siberian Husky,Medium,Female,9.0,41.0,Neutered,Very Active,Wet food,Nutro,4.0,,Yes,No,14.0,2.0,Active,3.0,52.0,Yes,Yes
8525,Great Dane,Large,Male,13.0,57.0,Neutered,Active,Wet food,Purina,0.0,Yes,Yes,No,10.0,3.0,Very Active,2.0,46.0,Yes,Yes
8526,German Shepherd,Large,Male,8.0,64.0,Neutered,Low,Home cooked,Special,3.0,Yes,Yes,No,10.0,2.0,Moderate,0.0,68.0,Yes,Yes
8527,Beagle,Small,Male,1.0,37.0,Neutered,Low,Home cooked,Special,3.0,No,Yes,,8.0,2.0,Low,2.0,79.0,Yes,Yes
8528,Beagle,Small,Male,,42.0,None,Low,Special diet,Royal Canin,5.0,No,Yes,No,12.0,1.0,Low,2.0,80.0,Yes,No
8529,Bulldog,Medium,Male,11.0,53.0,None,Low,Home cooked,Special,5.0,No,No,No,10.0,1.0,Active,1.0,65.0,Yes,Yes
8530,Bulldog,Medium,Male,5.0,46.0,None,Moderate,Wet food,Nutro,3.0,No,No,No,11.0,3.0,Low,3.0,54.0,Yes,Yes
8531,Golden Retriever,Large,Male,9.0,29.0,Neutered,None,Special diet,Hill's Science,2.0,Yes,Yes,No,10.0,2.0,Low,3.0,44.0,,Yes
8532,Australian Shepherd,Medium,Female,9.0,55.0,None,Low,Special diet,Iams,3.0,No,No,No,14.0,1.0,Low,4.0,85.0,Yes,Yes
8533,Rottweiler,Large,Female,9.0,58.0,Neutered,Active,,Special,2.0,No,No,No,10.0,1.0,Moderate,2.0,37.0,Yes,Yes
8534,Poodle,Small,Female,12.0,58.0,Neutered,Very Active,Special diet,Purina,3.0,No,No,No,11.0,1.0,Low,0.0,77.0,Yes,Yes
8535,Rottweiler,Large,Male,9.0,48.0,Spayed,Low,Wet food,Purina,2.0,Yes,Yes,No,11.0,0.0,Very Active,4.0,48.0,Yes,No
8536,Siberian Husky,Medium,Male,11.0,76.0,None,None,Wet food,Purina,1.0,Yes,Yes,No,11.0,2.0,None,4.0,75.0,Yes,No
8537,Doberman,Large,Male,8.0,36.0,Neutered,None,Wet food,Iams,4.0,No,Yes,Yes,12.0,2.0,Very Active,2.0,64.0,Yes,No
8538,Bulldog,,Male,1.0,68.0,None,Very Active,Home cooked,Special,2.0,Yes,No,No,8.0,2.0,None,2.0,55.0,Yes,Yes
8539,Dachshund,Small,Female,3.0,51.0,Neutered,Moderate,Special diet,Wellness,3.0,Yes,Yes,No,11.0,1.0,Moderate,1.0,65.0,Yes,Yes
8540,Labrador Retriever,Large,Male,7.0,63.0,None,Low,Hard food,Blue Buffalo,3.0,Yes,Yes,No,9.0,2.0,None,4.0,59.0,Yes,No
8541,Golden Retriever,Large,Female,5.0,49.0,None,Moderate,Special diet,Blue Buffalo,2.0,No,No,No,11.0,,Low,1.0,62.0,Yes,Yes
8542,Doberman,Large,Male,3.0,59.0,None,Moderate,Hard food,Nutro,0.0,Yes,Yes,No,10.0,1.0,Moderate,1.0,55.0,Yes,No
8543,Rottweiler,Large,Male,10.0,51.0,None,Moderate,Special diet,Pedigree,,No,Yes,No,12.0,1.0,Low,1.0,78.0,Yes,No
8544,Boxer,Medium,Male,13.0,10.0,None,Active,Hard food,Iams,0.0,,Yes,No,12.0,0.0,Moderate,3.0,69.0,Yes,No
8545,Beagle,Small,Female,12.0,40.0,Neutered,Low,Special diet,Purina,2.0,Yes,No,No,13.0,2.0,Moderate,3.0,87.0,Yes,Yes
8546,Chihuahua,Small,Female,6.0,45.0,Spayed,None,Hard food,Wellness,6.0,Yes,Yes,No,13.0,2.0,None,3.0,47.0,Yes,Yes
